Vaipito_Wx,,,,,,,,,
                    ,Solar Rad (wat/m2),RH (%),Temperature (*F),Rainfall (In),Wind Dir (Deg),Wind Gust (mph),Wind Speed (mph),Dew Point (*F),
7/21/2015 22:30,0,91.2,74.6,0.01,218,5,1,71.8,
7/21/2015 22:45,0,94.4,74.2,0.05,221,4,0,72.5,
7/21/2015 23:00,0,93.5,74.4,0.01,242,11,1,72.4,
7/21/2015 23:15,0,90.2,75,0,216,9,2,71.9,
7/21/2015 23:30,0,91,75,0,251,7,1,72.2,
7/21/2015 23:45,0,89.1,75.6,0,255,8,1,72.2,
7/22/2015 0:00,0,89.7,75.4,0,204,6,1,72.2,
7/22/2015 0:15,0,89,75.7,0,272,6,2,72.2,
7/22/2015 0:30,0,88.4,75.9,0,265,7,1,72.2,
7/22/2015 0:45,0,86.5,76,0,237,9,2,71.7,
7/22/2015 1:00,0,85.3,76.1,0,204,6,2,71.4,
7/22/2015 1:15,0,85.7,76.5,0,210,8,2,71.9,
7/22/2015 1:30,0,84.3,76.4,0,207,6,1,71.4,
7/22/2015 1:45,0,84.2,76.3,0,266,8,1,71.2,
7/22/2015 2:00,0,83.3,76.5,0,273,10,1,71.1,
7/22/2015 2:15,0,85.1,76.4,0,265,8,2,71.6,
7/22/2015 2:30,0,86.9,75.9,0.01,228,7,1,71.7,
7/22/2015 2:45,0,86.8,75.6,0,261,11,2,71.4,
7/22/2015 3:00,0,86.6,76.1,0,247,9,2,71.8,
7/22/2015 3:15,0,89.3,75.4,0.01,295,12,3,72,
7/22/2015 3:30,0,88,75.2,0,225,8,2,71.4,
7/22/2015 3:45,0,87.2,75.2,0,242,6,1,71.1,
7/22/2015 4:00,0,83.9,75.8,0,204,14,2,70.6,
7/22/2015 4:15,0,80.3,76.6,0,216,9,2,70.2,
7/22/2015 4:30,0,82.4,76.6,0,206,8,1,70.9,
7/22/2015 4:45,0,83.1,76,0,307,14,3,70.6,
7/22/2015 5:00,0,87.1,75,0.01,232,13,1,70.9,
7/22/2015 5:15,0,88.4,74.6,0,242,6,1,70.9,
7/22/2015 5:30,0,91.9,74.6,0.03,265,7,2,72.1,
7/22/2015 5:45,0,94.7,73.8,0.05,224,7,2,72.2,
7/22/2015 6:00,0,93.5,73.8,0.01,223,8,1,71.8,
7/22/2015 6:15,0,91.5,74.2,0,266,10,2,71.5,
7/22/2015 6:30,0,87.9,74.7,0,175,12,3,70.9,
7/22/2015 6:45,0,91.7,74.7,0.05,186,11,2,72.1,
7/22/2015 7:00,1,93.3,73.8,0,290,10,2,71.7,
7/22/2015 7:15,4,89.8,74.3,0,225,10,2,71.1,
7/22/2015 7:30,11,88.7,74.8,0.01,200,7,2,71.2,
7/22/2015 7:45,17,94.1,73.9,0.09,220,12,3,72.1,
7/22/2015 8:00,27,94.9,73.3,0.02,144,6,1,71.7,
7/22/2015 8:15,42,93.8,73.7,0,208,11,2,71.8,
7/22/2015 8:30,42,90.9,74.4,0,227,11,2,71.6,
7/22/2015 8:45,71,91.6,73.9,0.04,244,18,4,71.3,
7/22/2015 9:00,76,92.6,73.9,0.01,227,13,3,71.6,
7/22/2015 9:15,148,87.3,74.9,0,251,11,3,70.9,
7/22/2015 9:30,154,84.7,75.5,0,200,9,2,70.6,
7/22/2015 9:45,164,86.4,75.6,0.03,207,12,3,71.3,
7/22/2015 10:00,236,86.8,75.5,0,244,8,2,71.3,
7/22/2015 10:15,205,84,75.8,0,173,11,3,70.7,
7/22/2015 10:30,312,82.4,76.3,0,211,6,2,70.6,
7/22/2015 10:45,423,79.2,77.3,0,207,13,4,70.5,
7/22/2015 11:00,241,82.9,76.6,0,180,14,3,71.1,
7/22/2015 11:15,261,82.2,76.3,0,213,14,3,70.5,
7/22/2015 11:30,393,79.1,77.1,0,223,12,4,70.2,
7/22/2015 11:45,488,73.5,78.3,0,197,20,6,69.3,
7/22/2015 12:00,458,75.1,78.1,0,213,17,4,69.7,
7/22/2015 12:15,502,73.2,78.7,0,201,23,4,69.6,
7/22/2015 12:30,365,75.8,78.5,0,165,13,3,70.4,
7/22/2015 12:45,499,78,77.5,0,179,17,5,70.2,
7/22/2015 13:00,398,76.9,77.7,0,206,16,4,70,
7/22/2015 13:15,412,76.4,77.8,0,187,18,3,69.9,
7/22/2015 13:30,624,71.5,79.3,0,217,16,5,69.5,
7/22/2015 13:45,589,71.3,79.6,0,221,11,3,69.7,
7/22/2015 14:00,317,74.3,78.1,0,179,17,4,69.4,
7/22/2015 14:15,252,74.4,77.8,0,218,14,2,69.2,
7/22/2015 14:30,301,73.9,77.5,0,206,14,3,68.7,
7/22/2015 14:45,347,72.6,78.2,0,200,8,2,68.9,
